track_id	assay	group	mode	url	filename
ATAC-seq__imputed__BloodandT-cell	ATAC-seq	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_BloodandT-cell.bigWig	average_ATAC-seq_imputed_BloodandT-cell.bigWig
ATAC-seq__imputed__Brain	ATAC-seq	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Brain.bigWig	average_ATAC-seq_imputed_Brain.bigWig
ATAC-seq__imputed__Cancer	ATAC-seq	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Cancer.bigWig	average_ATAC-seq_imputed_Cancer.bigWig
ATAC-seq__imputed__Digestive	ATAC-seq	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Digestive.bigWig	average_ATAC-seq_imputed_Digestive.bigWig
ATAC-seq__imputed__ESC	ATAC-seq	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_ESC.bigWig	average_ATAC-seq_imputed_ESC.bigWig
ATAC-seq__imputed__Endocrine	ATAC-seq	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Endocrine.bigWig	average_ATAC-seq_imputed_Endocrine.bigWig
ATAC-seq__imputed__Endothelial	ATAC-seq	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Endothelial.bigWig	average_ATAC-seq_imputed_Endothelial.bigWig
ATAC-seq__imputed__Epithelial	ATAC-seq	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Epithelial.bigWig	average_ATAC-seq_imputed_Epithelial.bigWig
ATAC-seq__imputed__HSCandB-cell	ATAC-seq	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_HSCandB-cell.bigWig	average_ATAC-seq_imputed_HSCandB-cell.bigWig
ATAC-seq__imputed__Heart	ATAC-seq	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Heart.bigWig	average_ATAC-seq_imputed_Heart.bigWig
ATAC-seq__imputed__Kidney	ATAC-seq	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Kidney.bigWig	average_ATAC-seq_imputed_Kidney.bigWig
ATAC-seq__imputed__Liver	ATAC-seq	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Liver.bigWig	average_ATAC-seq_imputed_Liver.bigWig
ATAC-seq__imputed__Lung	ATAC-seq	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Lung.bigWig	average_ATAC-seq_imputed_Lung.bigWig
ATAC-seq__imputed__Lymphoblastoid	ATAC-seq	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Lymphoblastoid.bigWig	average_ATAC-seq_imputed_Lymphoblastoid.bigWig
ATAC-seq__imputed__Mesench	ATAC-seq	Mesench	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_Mesench.bigWig	average_ATAC-seq_imputed_Mesench.bigWig
ATAC-seq__imputed__iPSC	ATAC-seq	iPSC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_ATAC-seq_imputed_iPSC.bigWig	average_ATAC-seq_imputed_iPSC.bigWig
CTCF__imputed__BloodandT-cell	CTCF	BloodandT-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_BloodandT-cell.bigWig	average_CTCF_imputed_BloodandT-cell.bigWig
CTCF__imputed__Brain	CTCF	Brain	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Brain.bigWig	average_CTCF_imputed_Brain.bigWig
CTCF__imputed__Cancer	CTCF	Cancer	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Cancer.bigWig	average_CTCF_imputed_Cancer.bigWig
CTCF__imputed__Digestive	CTCF	Digestive	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Digestive.bigWig	average_CTCF_imputed_Digestive.bigWig
CTCF__imputed__ESC	CTCF	ESC	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_ESC.bigWig	average_CTCF_imputed_ESC.bigWig
CTCF__imputed__Endocrine	CTCF	Endocrine	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Endocrine.bigWig	average_CTCF_imputed_Endocrine.bigWig
CTCF__imputed__Endothelial	CTCF	Endothelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Endothelial.bigWig	average_CTCF_imputed_Endothelial.bigWig
CTCF__imputed__Epithelial	CTCF	Epithelial	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Epithelial.bigWig	average_CTCF_imputed_Epithelial.bigWig
CTCF__imputed__HSCandB-cell	CTCF	HSCandB-cell	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_HSCandB-cell.bigWig	average_CTCF_imputed_HSCandB-cell.bigWig
CTCF__imputed__Heart	CTCF	Heart	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Heart.bigWig	average_CTCF_imputed_Heart.bigWig
CTCF__imputed__Kidney	CTCF	Kidney	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Kidney.bigWig	average_CTCF_imputed_Kidney.bigWig
CTCF__imputed__Liver	CTCF	Liver	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Liver.bigWig	average_CTCF_imputed_Liver.bigWig
CTCF__imputed__Lung	CTCF	Lung	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Lung.bigWig	average_CTCF_imputed_Lung.bigWig
CTCF__imputed__Lymphoblastoid	CTCF	Lymphoblastoid	imputed	https://epigenome.wustl.edu/epimap/data/averagetracks_pergroup/average_CTCF_imputed_Lymphoblastoid.bigWig	average_CTCF_imputed_Lymphoblastoid.bigWig
